ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
100.29.192.99,denylist,0.0,1.0,0.01243529411764706,0.046,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
101.100.184.80,denylist,1.0000000000000002,1.0,0.01735294117647059,0.1105,3.0,1.0,82.0,19.0,0.23,0.1690751445086705,0.5578947368421052,0.10526315789473684,0.021052631578947368,0.3157894736842105
101.126.130.6,denylist,0.6000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.1820809248554913,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
101126131241,denylist,0.6000000000000001,0.17,8.23529411764706e-05,0.0025,3.0,1.0,82.0,6.0,0.07,0.17774566473988437,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101.126.131.33,suspicious,0.6000000000000001,0.3,0.00011764705882352942,0.0035,3.0,0.6,82.0,2.0,0.02,0.180635838150289,0.631578947368421,0.010526315789473684,0.010526315789473684,0.34736842105263155
101126134222,denylist,0.6000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.1820809248554913,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
101.126.138.19,denylist,0.6000000000000001,0.0,0.0,0.0,0.0,0.9,82.0,4.0,0.05,0.17919075144508667,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
101.126.139.0,denylist,0.6000000000000001,0.0,2.3529411764705884e-05,0.0005,2.0,0.9,82.0,4.0,0.05,0.180635838150289,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101126143163,denylist,0.6000000000000001,0.02,3.529411764705883e-05,0.0005,3.0,1.0,82.0,5.0,0.06,0.17774566473988437,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101126143177,denylist,0.6000000000000001,0.03,2.3529411764705884e-05,0.0005,2.0,0.7000000000000001,82.0,3.0,0.04,0.17919075144508667,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101.126.144.74,denylist,0.6000000000000001,0.02,3.529411764705883e-05,0.0005,3.0,0.9,82.0,4.0,0.05,0.180635838150289,0.631578947368421,0.0,0.021052631578947368,0.34736842105263155
101126148106,denylist,0.6000000000000001,0.1,4.705882352941177e-05,0.001,3.0,0.7000000000000001,82.0,3.0,0.04,0.17919075144508667,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101126155104,denylist,0.6000000000000001,0.02,3.529411764705883e-05,0.0005,3.0,0.7000000000000001,82.0,3.0,0.04,0.1820809248554913,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101126155149,denylist,0.6000000000000001,0.15,9.411764705882353e-05,0.0015,3.0,0.9,82.0,4.0,0.05,0.17774566473988437,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101126155163,denylist,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,82.0,5.0,0.06,0.180635838150289,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
101.126.158.69,suspicious,0.6000000000000001,0.0,0.0,0.0,0.0,0.4,82.0,1.0,0.01,0.1820809248554913,0.6421052631578947,0.010526315789473684,0.010526315789473684,0.3368421052631579
101.126.18.31,denylist,0.6000000000000001,0.09,7.058823529411765e-05,0.002,3.0,0.7000000000000001,82.0,3.0,0.04,0.17485549132947975,0.631578947368421,0.021052631578947368,0.021052631578947368,0.3263157894736842
101.126.21.240,denylist,0.6000000000000001,0.02,4.705882352941177e-05,0.0015,3.0,0.9,82.0,4.0,0.05,0.1820809248554913,0.6105263157894737,0.042105263157894736,0.010526315789473684,0.3368421052631579
101.126.21.49,suspicious,0.6000000000000001,0.0,0.0,0.0,0.0,0.4,82.0,1.0,0.01,0.1820809248554913,0.6421052631578947,0.0,0.010526315789473684,0.34736842105263155
101.126.25.120,denylist,0.6000000000000001,1.0,0.024047058823529414,0.27,3.0,1.0,82.0,15.0,0.18,0.17630057803468205,0.5789473684210527,0.07368421052631578,0.031578947368421054,0.3157894736842105
101.126.27.208,denylist,0.6000000000000001,1.0,0.033964705882352945,0.326,3.0,1.0,82.0,16.0,0.2,0.17774566473988437,0.5894736842105263,0.06315789473684211,0.031578947368421054,0.3157894736842105
101.126.31.191,denylist,0.6000000000000001,1.0,0.025329411764705885,0.291,3.0,1.0,82.0,14.0,0.17,0.17630057803468205,0.5894736842105263,0.07368421052631578,0.021052631578947368,0.3157894736842105
